roi_id,site_id,soil,mesquite,pixel_size
r-4016,NORT,1,0,1
r-4017,NORT,1,0,1
r-4018,NORT,1,0,1
r-4019,NORT,0.876,0.124,1
r-4020,NORT,0.099,0.901,1
r-4021,NORT,0.909,0.091,1
r-4022,NORT,1,0,1
r-4023,NORT,0.083,0.917,1
r-4024,NORT,1,0,1
r-4025,NORT,1,0,1
r-4026,NORT,0.992,0.008,1
r-4027,NORT,1,0,1
r-4028,NORT,0.686,0.314,1
r-4029,NORT,1,0,1
r-4030,NORT,0,1,1
r-4031,NORT,1,0,1
r-4032,NORT,0,1,1
r-4033,NORT,1,0,1
r-4034,NORT,0.322,0.678,1
r-4035,NORT,0.174,0.826,1
r-4036,NORT,1,0,1
r-4037,NORT,1,0,1
r-4038,NORT,1,0,1
r-4039,NORT,1,0,1
r-4040,NORT,0.05,0.95,1
r-4041,NORT,1,0,1
r-4042,NORT,0.909,0.091,1
r-4043,NORT,0,1,1
r-4044,NORT,1,0,1
r-4045,NORT,0.678,0.322,1
r-4046,NORT,0.835,0.165,1
r-4047,NORT,1,0,1
r-4048,NORT,1,0,1
r-4049,NORT,1,0,1
r-4050,NORT,1,0,1
r-4051,NORT,1,0,1
r-4052,NORT,1,0,1
r-4053,NORT,0.843,0.157,1
r-4054,NORT,1,0,1
r-4055,NORT,0.438,0.562,1
r-4056,NORT,0.587,0.413,1
r-4057,NORT,1,0,1
r-4058,NORT,0.306,0.694,1
r-4059,NORT,1,0,1
r-4060,NORT,0.471,0.529,1
r-4061,NORT,0,1,1
r-4062,NORT,0.017,0.983,1
r-4063,NORT,1,0,1
r-4064,NORT,1,0,1
r-4065,NORT,0,1,1
r-4066,NORT,1,0,1
r-4067,NORT,1,0,1
r-4068,NORT,1,0,1
r-4069,NORT,1,0,1
r-4070,NORT,1,0,1
r-4071,NORT,0.942,0.058,1
r-4072,NORT,0.884,0.116,1
r-4073,NORT,0.43,0.57,1
r-4074,NORT,1,0,1
r-4075,NORT,1,0,1
r-4076,NORT,0,1,1
r-4077,NORT,0.529,0.471,1
r-4078,NORT,0.496,0.504,1
r-4079,NORT,1,0,1
r-4080,NORT,0,1,1
r-4081,NORT,0.132,0.868,1
r-4082,NORT,1,0,1
r-4083,NORT,1,0,1
r-4084,NORT,1,0,1
r-4085,NORT,1,0,1
r-4086,NORT,1,0,1
r-4087,NORT,0,1,1
r-4088,NORT,1,0,1
r-4089,NORT,1,0,1
r-4090,NORT,1,0,1
r-4091,NORT,0.645,0.355,1
r-4092,NORT,1,0,1
r-4093,NORT,1,0,1
r-4094,NORT,0,1,1
r-4095,NORT,0.727,0.273,1
r-4096,NORT,1,0,1
r-4097,NORT,1,0,1
r-4098,NORT,1,0,1
r-4099,NORT,0.942,0.058,1
r-4100,NORT,1,0,1
r-4101,NORT,1,0,1
r-4102,NORT,1,0,1
r-4103,NORT,0,1,1
r-4104,NORT,0,1,1
r-4105,NORT,0.19,0.81,1
r-4106,NORT,1,0,1
r-4107,NORT,0,1,1
r-4108,NORT,1,0,1
r-4109,NORT,1,0,1
r-4110,NORT,1,0,1
r-4111,NORT,0.686,0.314,1
r-4112,NORT,1,0,1
r-4113,NORT,1,0,1
r-4114,NORT,1,0,1
r-4115,NORT,1,0,1
r-4116,NORT,1,0,1
r-4117,NORT,1,0,1
r-4118,NORT,1,0,1
r-4119,NORT,0,1,1
r-4120,NORT,0.636,0.364,1
r-4121,NORT,1,0,1
r-4122,NORT,0.793,0.207,1
r-4123,NORT,1,0,1
r-4124,NORT,1,0,1
r-4125,NORT,1,0,1
r-4126,NORT,1,0,1
r-4127,NORT,1,0,1
r-4128,NORT,0.785,0.215,1
r-4129,NORT,0.529,0.471,1
r-4130,NORT,1,0,1
r-4131,NORT,1,0,1
r-4132,NORT,1,0,1
r-4133,NORT,0.512,0.488,1
r-4134,NORT,1,0,1
r-4135,NORT,0.281,0.719,1
r-4136,NORT,0,1,1
r-4137,NORT,0.19,0.81,1
r-4138,NORT,1,0,1
r-4139,NORT,0.942,0.058,1
r-4140,NORT,1,0,1
r-4141,NORT,0,1,1
r-4142,NORT,0,1,1
r-4143,NORT,0,1,1
r-4144,NORT,1,0,1
r-4145,NORT,1,0,1
r-4147,NORT,1,0,1
r-4148,NORT,0,1,1
r-4149,NORT,0.116,0.884,1
r-4150,NORT,0,1,1
r-4151,NORT,0.273,0.727,1
r-4152,NORT,0.041,0.959,1
r-4153,NORT,0.488,0.512,1
r-4154,NORT,0.719,0.281,1
r-4155,NORT,1,0,1
r-4156,NORT,1,0,1
r-4157,NORT,1,0,1
r-4158,NORT,0,1,1
r-4159,NORT,0,1,1
r-4160,NORT,0,1,1
r-4161,NORT,1,0,1
r-4162,NORT,0.182,0.818,1
r-4163,NORT,1,0,1
r-4164,NORT,1,0,1
r-4165,NORT,1,0,1
r-4166,NORT,1,0,1
r-4167,NORT,1,0,1
r-4168,NORT,0,1,1
r-4169,NORT,0.025,0.975,1
r-4170,NORT,1,0,1
r-4171,NORT,0,1,1
r-4172,NORT,1,0,1
r-4173,NORT,1,0,1
r-4174,NORT,0.339,0.661,1
r-4175,NORT,0.851,0.149,1
r-4176,NORT,1,0,1
r-4177,NORT,0.843,0.157,1
r-4178,NORT,1,0,1
r-4179,NORT,1,0,1
r-4180,NORT,1,0,1
r-4181,NORT,1,0,1
r-4182,NORT,1,0,1
r-4183,NORT,1,0,1
r-4184,NORT,0,1,1
r-4185,NORT,0,1,1
r-4186,NORT,0,1,1
r-4187,NORT,1,0,1
r-4188,NORT,1,0,1
r-4189,NORT,0,1,1
r-4190,NORT,1,0,1
r-4191,NORT,1,0,1
r-4192,NORT,1,0,1
r-4193,NORT,1,0,1
r-4194,NORT,0.942,0.058,1
r-4195,NORT,1,0,1
r-4196,NORT,1,0,1
r-4197,NORT,1,0,1
r-4198,NORT,1,0,1
r-4199,NORT,1,0,1
r-4200,NORT,1,0,1
r-4201,NORT,0.959,0.041,1
r-4202,NORT,1,0,1
r-4203,NORT,0.554,0.446,1
r-4204,NORT,1,0,1
r-4205,NORT,0.76,0.24,1
r-4206,NORT,1,0,1
r-4207,NORT,0.711,0.289,1
r-4208,NORT,1,0,1
r-4209,NORT,1,0,1
r-4210,NORT,1,0,1
r-4211,NORT,0,1,1
r-4212,NORT,1,0,1
r-4213,NORT,1,0,1
r-4214,NORT,0,1,1
r-4215,NORT,1,0,1
r-4216,NORT,0,1,1
r-4217,NORT,1,0,1
r-4218,NORT,0.959,0.041,1
r-4219,NORT,1,0,1
r-4220,NORT,0.62,0.38,1
r-4221,NORT,0,1,1
r-4222,NORT,1,0,1
r-4223,NORT,1,0,1
r-4224,NORT,0,1,1
r-4225,NORT,1,0,1
r-4226,NORT,0,1,1
r-4227,NORT,1,0,1
r-4228,NORT,1,0,1
r-4229,NORT,1,0,1
r-4230,NORT,1,0,1
r-4231,NORT,1,0,1
r-4232,NORT,1,0,1
r-4233,NORT,1,0,1
r-4234,NORT,1,0,1
r-4235,NORT,0.983,0.017,1
r-4236,NORT,1,0,1
r-4237,NORT,1,0,1
r-4238,NORT,1,0,1
r-4239,NORT,0.339,0.661,1
r-4240,NORT,1,0,1
r-4241,NORT,0.38,0.62,1
r-4242,NORT,0.744,0.256,1
r-4243,NORT,1,0,1
r-4244,NORT,1,0,1
r-4245,NORT,1,0,1
r-4246,NORT,1,0,1
r-4247,NORT,1,0,1
r-4248,NORT,0.603,0.397,1
r-4249,NORT,0.198,0.802,1
r-4250,NORT,0,1,1
r-4251,NORT,1,0,1
r-4252,NORT,0,1,1
r-4253,NORT,1,0,1
r-4254,NORT,0,1,1
r-4255,NORT,1,0,1
r-4256,NORT,1,0,1
r-4257,NORT,1,0,1
r-4258,NORT,0,1,1
r-4259,NORT,1,0,1
r-4260,NORT,0.223,0.777,1
r-4261,NORT,1,0,1
r-4262,NORT,0.421,0.579,1
r-4263,NORT,1,0,1
r-4264,NORT,1,0,1
r-4265,NORT,0.347,0.653,1
r-4266,NORT,1,0,1
r-4267,NORT,1,0,1
r-4268,NORT,0.554,0.446,1
r-4269,NORT,0,1,1
r-4270,NORT,1,0,1
r-4271,NORT,1,0,1
r-4272,NORT,1,0,1
r-4273,NORT,1,0,1
r-4274,NORT,0,1,1
r-4275,NORT,0,1,1
r-4276,NORT,1,0,1
r-4277,NORT,1,0,1
r-4278,NORT,1,0,1
r-4279,NORT,1,0,1
r-4280,NORT,0,1,1
r-4281,NORT,0,1,1
r-4282,NORT,1,0,1
r-4283,NORT,1,0,1
r-4284,NORT,1,0,1
r-4285,NORT,0,1,1
r-4286,NORT,1,0,1
r-4287,NORT,1,0,1
r-4288,NORT,1,0,1
r-4289,NORT,1,0,1
r-4290,NORT,1,0,1
r-4291,NORT,1,0,1
r-4292,NORT,1,0,1
r-4293,NORT,0.14,0.86,1
r-4294,NORT,0.579,0.421,1
r-4295,NORT,1,0,1
r-4296,NORT,0,1,1
r-4297,NORT,1,0,1
r-4298,NORT,1,0,1
r-4299,NORT,0,1,1
r-4300,NORT,1,0,1
r-4301,NORT,1,0,1
r-4302,NORT,1,0,1
r-4303,NORT,0.223,0.777,1
r-4304,NORT,1,0,1
r-4305,NORT,0.413,0.587,1
r-4306,NORT,1,0,1
r-4307,NORT,1,0,1
r-4308,NORT,0.95,0.05,1
r-4309,NORT,0.636,0.364,1
r-4310,NORT,0,1,1
r-4311,NORT,1,0,1
r-4312,NORT,0,1,1
r-4313,NORT,0,1,1
r-4314,NORT,0.091,0.909,1
r-4315,NORT,0.835,0.165,1
r-4316,NORT,0,1,1
r-4317,NORT,1,0,1
r-4318,NORT,1,0,1
r-4319,NORT,0.512,0.488,1
r-4320,NORT,0.496,0.504,1
r-4321,NORT,1,0,1
r-4322,NORT,1,0,1
r-4323,NORT,1,0,1
r-4324,NORT,0,1,1
r-4325,NORT,0,1,1
r-4326,NORT,1,0,1
r-4327,NORT,0.868,0.132,1
r-4328,NORT,0,1,1
r-4329,NORT,1,0,1
r-4330,NORT,1,0,1
r-4331,NORT,1,0,1
r-4332,NORT,1,0,1
r-4333,NORT,0.231,0.769,1
r-4334,NORT,1,0,1
r-4335,NORT,0.909,0.091,1
r-4336,NORT,1,0,1
r-4337,NORT,1,0,1
r-4338,NORT,1,0,1
r-4339,NORT,1,0,1
r-4340,NORT,1,0,1
r-4341,NORT,0.967,0.033,1
r-4342,NORT,1,0,1
r-4343,NORT,1,0,1
r-4344,NORT,0.727,0.273,1
r-4345,NORT,0.124,0.876,1
r-4346,NORT,0,1,1
r-4347,NORT,0,1,1
r-4348,NORT,1,0,1
r-4349,NORT,0.2,0.8,1
r-4350,NORT,1,0,1
r-4351,NORT,0.752,0.248,1
r-4352,NORT,1,0,1
r-4353,NORT,1,0,1
r-4354,NORT,1,0,1
r-4355,NORT,0,1,1
r-4356,NORT,0.496,0.504,1
r-4357,NORT,1,0,1
r-4358,NORT,1,0,1
r-4359,NORT,1,0,1
r-4360,NORT,1,0,1
r-4361,NORT,1,0,1
r-4362,NORT,1,0,1
r-4363,NORT,1,0,1
r-4364,NORT,1,0,1
r-4365,NORT,1,0,1
r-4366,NORT,0.512,0.488,1
r-4367,NORT,0.86,0.14,1
r-4368,NORT,0.091,0.909,1
r-4369,NORT,0.967,0.033,1
r-4370,NORT,1,0,1
r-4371,NORT,1,0,1
r-4372,NORT,0,1,1
r-4373,NORT,0.967,0.033,1
r-4374,NORT,1,0,1
r-4375,NORT,0,1,1
r-4376,NORT,0.826,0.174,1
r-4377,NORT,1,0,1
r-4378,NORT,0,1,1
r-4379,NORT,0.529,0.471,1
r-4380,NORT,0,1,1
r-4381,NORT,1,0,1
r-4382,NORT,0.884,0.116,1
r-4383,NORT,0,1,1
r-4384,NORT,0.678,0.322,1
r-4385,NORT,1,0,1
r-4386,NORT,1,0,1
r-4387,NORT,1,0,1
r-4388,NORT,1,0,1
r-4389,NORT,1,0,1
r-4390,NORT,1,0,1
r-4391,NORT,0.289,0.711,1
r-4392,NORT,1,0,1
r-4393,NORT,1,0,1
r-4394,NORT,1,0,1
r-4395,NORT,0.231,0.769,1
r-4396,NORT,1,0,1
r-4397,NORT,1,0,1
r-4398,NORT,1,0,1
r-4399,NORT,1,0,1
r-4400,NORT,1,0,1
r-4401,NORT,0.711,0.289,1
r-4402,NORT,1,0,1
r-4403,NORT,0,1,1
r-4404,NORT,1,0,1
r-4405,NORT,1,0,1
r-4406,NORT,0.264,0.736,1
r-4407,NORT,1,0,1
r-4408,NORT,1,0,1
r-4409,NORT,1,0,1
r-4410,NORT,1,0,1
r-4411,NORT,0.661,0.339,1
r-4412,NORT,1,0,1
r-4413,NORT,1,0,1
r-4414,NORT,1,0,1
r-4415,NORT,1,0,1
r-4416,NORT,0,1,1
r-4417,NORT,1,0,1
r-4418,NORT,1,0,1
r-4419,NORT,1,0,1
r-4420,NORT,1,0,1
r-4421,NORT,0,1,1
r-4422,NORT,1,0,1
r-4423,NORT,1,0,1
r-4424,NORT,0.653,0.347,1
r-4425,NORT,1,0,1
r-4426,NORT,1,0,1
r-4427,NORT,1,0,1
r-4428,NORT,1,0,1
r-4429,NORT,0,1,1
r-4430,NORT,0.653,0.347,1
r-4431,NORT,0.347,0.653,1
r-4432,NORT,1,0,1
r-4433,NORT,1,0,1
r-4434,NORT,0.421,0.579,1
r-4435,NORT,1,0,1
r-4436,NORT,0.983,0.017,1
r-4437,NORT,1,0,1
r-4438,NORT,1,0,1
r-4439,NORT,1,0,1
r-4440,NORT,1,0,1
r-4441,NORT,0.793,0.207,1
r-4442,NORT,1,0,1
r-4443,NORT,1,0,1
r-4444,NORT,1,0,1
r-4445,NORT,0,1,1
r-4446,NORT,1,0,1
r-4447,NORT,0.099,0.901,1
r-4448,NORT,0,1,1
r-4449,NORT,0.876,0.124,1
r-4450,NORT,1,0,1
r-4451,NORT,1,0,1
r-4452,NORT,0.917,0.083,1
r-4453,NORT,0,1,1
r-4454,NORT,1,0,1
r-4455,NORT,0.331,0.669,1
r-4456,NORT,1,0,1
r-4457,NORT,0,1,1
r-4458,NORT,1,0,1
r-4459,NORT,1,0,1
r-4460,NORT,1,0,1
r-4461,NORT,1,0,1
r-4462,NORT,1,0,1
r-4463,NORT,1,0,1
r-4464,NORT,1,0,1
r-4465,NORT,0.636,0.364,1
r-4466,NORT,0.983,0.017,1
r-4467,NORT,0.992,0.008,1
r-4468,NORT,1,0,1
r-4469,NORT,1,0,1
r-4470,NORT,1,0,1
r-4471,NORT,0.017,0.983,1
r-4472,NORT,0,1,1
r-4473,NORT,0,1,1
r-4474,NORT,1,0,1
r-4475,NORT,1,0,1
r-4476,NORT,0,1,1
r-4477,NORT,1,0,1
r-4478,NORT,1,0,1
r-4479,NORT,1,0,1
r-4480,NORT,0,1,1
r-4481,NORT,1,0,1
r-4482,NORT,1,0,1
r-4483,NORT,1,0,1
r-4484,NORT,0.868,0.132,1
r-4485,NORT,1,0,1
r-4486,NORT,0.298,0.702,1
r-4487,NORT,1,0,1
r-4488,NORT,0.488,0.512,1
r-4489,NORT,0,1,1
r-4490,NORT,0.975,0.025,1
r-4491,NORT,1,0,1
r-4492,NORT,1,0,1
r-4493,NORT,1,0,1
r-4494,NORT,1,0,1
r-4495,NORT,0.62,0.38,1
r-4496,NORT,1,0,1
r-4497,NORT,1,0,1
r-4498,NORT,1,0,1
r-4499,NORT,1,0,1
r-4500,NORT,0,1,1
r-4501,NORT,0.868,0.132,1
r-4502,NORT,1,0,1
r-4503,NORT,1,0,1
r-4504,NORT,0,1,1
r-4505,NORT,1,0,1
r-4506,NORT,0.826,0.174,1
r-4507,NORT,1,0,1
r-4508,NORT,1,0,1
r-4509,NORT,0.355,0.645,1
r-4510,NORT,1,0,1
r-4511,NORT,0.421,0.579,1
r-4512,NORT,0.926,0.074,1
r-4513,NORT,1,0,1
r-4514,NORT,1,0,1
r-4515,NORT,0,1,1
r-4516,NORT,0,1,1
r-4517,NORT,0,1,1
r-4518,NORT,1,0,1
r-4519,NORT,0,1,1
r-4520,NORT,1,0,1
r-4521,NORT,0.537,0.463,1
r-4522,NORT,1,0,1
r-4523,NORT,1,0,1
r-4524,NORT,0.983,0.017,1
r-4525,NORT,0.727,0.273,1
r-4526,NORT,1,0,1
r-4527,NORT,1,0,1
r-4528,NORT,1,0,1
r-4529,NORT,1,0,1
r-4530,NORT,1,0,1
r-4531,NORT,1,0,1
r-4532,NORT,0.132,0.868,1
r-4533,NORT,0,1,1
r-4534,NORT,1,0,1
r-4535,NORT,0.256,0.744,1
r-4536,NORT,1,0,1
r-4537,NORT,0,1,1
r-4538,NORT,0.041,0.959,1
r-4539,NORT,1,0,1
r-4540,NORT,1,0,1
r-4541,NORT,1,0,1
r-4542,NORT,1,0,1
r-4543,NORT,1,0,1
r-4544,NORT,0.504,0.496,1
r-4545,NORT,1,0,1
r-4546,NORT,0.95,0.05,1
r-4547,NORT,1,0,1
r-4548,NORT,1,0,1
r-4549,NORT,0,1,1
r-4550,NORT,0.579,0.421,1
r-4551,NORT,1,0,1
r-4552,NORT,1,0,1
r-4553,NORT,1,0,1
r-4554,NORT,0.331,0.669,1
r-4555,NORT,1,0,1
r-4556,NORT,0.884,0.116,1
r-4557,NORT,0.868,0.132,1
r-4558,NORT,1,0,1
r-4559,NORT,1,0,1
r-4560,NORT,1,0,1
r-4561,NORT,1,0,1
r-4562,NORT,1,0,1
r-4563,NORT,1,0,1
r-4564,NORT,1,0,1
r-4565,NORT,0.149,0.851,1
r-4566,NORT,0.62,0.38,1
r-4567,NORT,1,0,1
r-4568,NORT,0,1,1
r-4569,NORT,0,1,1
r-4570,NORT,1,0,1
r-4571,NORT,1,0,1
r-4572,NORT,1,0,1
r-4573,NORT,1,0,1
r-4574,NORT,1,0,1
r-4575,NORT,1,0,1
r-4576,NORT,1,0,1
r-4577,NORT,1,0,1
r-4578,NORT,1,0,1
r-4579,NORT,1,0,1
r-4580,NORT,0,1,1
r-4581,NORT,1,0,1
r-4582,NORT,1,0,1
r-4583,NORT,1,0,1
r-4584,NORT,1,0,1
r-4585,NORT,0,1,1
r-4586,NORT,0,1,1
r-4587,NORT,0,1,1
r-4588,NORT,1,0,1
r-4589,NORT,0,1,1
r-4590,NORT,0.116,0.884,1
r-4591,NORT,0,1,1
r-4592,NORT,1,0,1
r-4593,NORT,0.992,0.008,1
r-4594,NORT,1,0,1
r-4595,NORT,0,1,1
r-4596,NORT,0.975,0.025,1
r-4597,NORT,1,0,1
r-4598,NORT,0.281,0.719,1
r-4599,NORT,1,0,1
r-4600,NORT,0.785,0.215,1
r-4601,NORT,0.05,0.95,1
r-4602,NORT,1,0,1
r-4603,NORT,1,0,1
r-4604,NORT,0.876,0.124,1
r-4605,NORT,1,0,1
r-4606,NORT,1,0,1
r-4607,NORT,0.124,0.876,1
r-4608,NORT,1,0,1
r-4609,NORT,0,1,1
r-4610,NORT,0.471,0.529,1
r-4611,NORT,0,1,1
r-4612,NORT,1,0,1
r-4613,NORT,0,1,1
r-4614,NORT,0.488,0.512,1
r-4615,NORT,1,0,1
r-4616,NORT,0.43,0.57,1
r-4617,NORT,1,0,1
r-4618,NORT,0,1,1
r-4619,NORT,1,0,1
r-4620,NORT,1,0,1
r-4621,NORT,0,1,1
r-4622,NORT,0,1,1
r-4623,NORT,0,1,1
r-4624,NORT,1,0,1
r-4625,NORT,1,0,1
r-4626,NORT,0,1,1
r-4627,NORT,0,1,1
r-4628,NORT,1,0,1
r-4629,NORT,1,0,1
r-4630,NORT,0,1,1
r-4631,NORT,1,0,1
r-4632,NORT,1,0,1
r-4633,NORT,0,1,1
r-4634,NORT,0,1,1
r-4635,NORT,1,0,1
r-4636,NORT,1,0,1
r-4637,NORT,0,1,1
r-4638,NORT,0.843,0.157,1
r-4639,NORT,0.992,0.008,1
r-4640,NORT,1,0,1
r-4641,NORT,1,0,1
r-4642,NORT,1,0,1
r-4643,NORT,1,0,1
r-4644,NORT,0,1,1
r-4645,NORT,1,0,1
r-4646,NORT,1,0,1
r-4647,NORT,1,0,1
r-4648,NORT,1,0,1
r-4649,NORT,0,1,1
r-4650,NORT,0.165,0.835,1
r-4651,NORT,1,0,1
r-4652,NORT,0.992,0.008,1
r-4653,NORT,1,0,1
r-4654,NORT,0,1,1
r-4655,NORT,1,0,1
r-4656,NORT,1,0,1
r-4657,NORT,0.983,0.017,1
r-4658,NORT,1,0,1
r-4659,NORT,0,1,1
r-4660,NORT,1,0,1
r-4661,NORT,1,0,1
r-4662,NORT,1,0,1
r-4663,NORT,0,1,1
r-4664,NORT,0.182,0.818,1
r-4665,NORT,0.678,0.322,1
r-4666,NORT,1,0,1
r-4667,NORT,1,0,1
r-4668,NORT,0,1,1
r-4669,NORT,0,1,1
r-4670,NORT,1,0,1
r-4671,NORT,0.099,0.901,1
r-4672,NORT,1,0,1
r-4673,NORT,1,0,1
r-4674,NORT,1,0,1
r-4675,NORT,0.967,0.033,1
r-4676,NORT,0,1,1
r-4677,NORT,1,0,1
r-4678,NORT,1,0,1
r-4679,NORT,1,0,1
r-4680,NORT,1,0,1
r-4681,NORT,0,1,1
r-4682,NORT,0.14,0.86,1
r-4683,NORT,0,1,1
r-4684,NORT,1,0,1
r-4685,NORT,1,0,1
r-4686,NORT,0.05,0.95,1
r-4687,NORT,0,1,1
r-4688,NORT,1,0,1
r-4689,NORT,1,0,1
r-4690,NORT,0,1,1
r-4691,NORT,1,0,1
r-4692,NORT,0.273,0.727,1
r-4693,NORT,0,1,1
r-4694,NORT,1,0,1
r-4695,NORT,1,0,1
r-4696,NORT,0,1,1
r-4697,NORT,0.256,0.744,1
r-4698,NORT,0,1,1
r-4699,NORT,1,0,1
r-4700,NORT,1,0,1
r-4701,NORT,1,0,1
r-4702,NORT,1,0,1
r-4703,NORT,0.628,0.372,1
r-4704,NORT,0.116,0.884,1
r-4705,NORT,1,0,1
r-4706,NORT,1,0,1
r-4707,NORT,1,0,1
r-4708,NORT,1,0,1
r-4709,NORT,0,1,1
r-4710,NORT,1,0,1
r-4711,NORT,1,0,1
r-4712,NORT,1,0,1
r-4713,NORT,1,0,1
r-4714,NORT,0,1,1
r-4715,NORT,1,0,1
r-4716,NORT,0.174,0.826,1
r-4717,NORT,1,0,1
r-4718,NORT,0.43,0.57,1
r-4719,NORT,0,1,1
r-4720,NORT,1,0,1
r-4721,NORT,0.917,0.083,1
r-4722,NORT,0,1,1
r-4723,NORT,0.05,0.95,1
r-4724,NORT,1,0,1
r-4725,NORT,0.752,0.248,1
r-4726,NORT,1,0,1
r-4727,NORT,1,0,1
r-4728,NORT,0.967,0.033,1
r-4729,NORT,1,0,1
r-4730,NORT,1,0,1
r-4731,NORT,0.529,0.471,1
r-4732,NORT,1,0,1
r-4733,NORT,0.851,0.149,1
r-4734,NORT,0,1,1
r-4735,NORT,1,0,1
r-4736,NORT,0,1,1
r-4737,NORT,1,0,1
r-4738,NORT,1,0,1
r-4739,NORT,0.876,0.124,1
r-4740,NORT,0.884,0.116,1
r-4741,NORT,1,0,1
r-4742,NORT,0,1,1
r-4743,NORT,1,0,1
r-4744,NORT,1,0,1
r-4745,NORT,1,0,1
r-4746,NORT,0,1,1
r-4747,NORT,0.942,0.058,1
r-4748,NORT,0.537,0.463,1
r-4749,NORT,1,0,1
r-4750,NORT,1,0,1
r-4751,NORT,0.81,0.19,1
r-4752,NORT,1,0,1
r-4753,NORT,1,0,1
r-4754,NORT,1,0,1
r-4755,NORT,1,0,1
r-4756,NORT,0,1,1
r-4757,NORT,0.058,0.942,1
r-4758,NORT,0.959,0.041,1
r-4759,NORT,1,0,1
r-4760,NORT,0,1,1
r-4761,NORT,0.008,0.992,1
r-4762,NORT,1,0,1
r-4763,NORT,0,1,1
r-4764,NORT,0.05,0.95,1
r-4765,NORT,1,0,1
r-4766,NORT,0.992,0.008,1
r-4767,NORT,0.083,0.917,1
r-4768,NORT,0,1,1
r-4769,NORT,1,0,1
r-4770,NORT,1,0,1
r-4771,NORT,0.785,0.215,1
r-4772,NORT,1,0,1
r-4773,NORT,1,0,1
r-4774,NORT,0,1,1
r-4775,NORT,0,1,1
r-4776,NORT,1,0,1
r-4777,NORT,1,0,1
r-4778,NORT,0,1,1
r-4779,NORT,0.992,0.008,1
r-4780,NORT,1,0,1
r-4781,NORT,1,0,1
r-4782,NORT,0.967,0.033,1
r-4783,NORT,1,0,1
r-4784,NORT,1,0,1
r-4785,NORT,1,0,1
r-4786,NORT,1,0,1
r-4787,NORT,1,0,1
r-4788,NORT,0.074,0.926,1
r-4789,NORT,0.669,0.331,1
r-4790,NORT,1,0,1
r-4791,NORT,1,0,1
r-4792,NORT,0.917,0.083,1
r-4793,NORT,1,0,1
r-4794,NORT,0.835,0.165,1
r-4795,NORT,1,0,1
r-4796,NORT,1,0,1
r-4797,NORT,0.983,0.017,1
r-4798,NORT,1,0,1
r-4799,NORT,0.372,0.628,1
r-4800,NORT,0,1,1
r-4801,NORT,1,0,1
r-4802,NORT,1,0,1
r-4803,NORT,1,0,1
r-4804,NORT,1,0,1
r-4805,NORT,0,1,1
r-4806,NORT,1,0,1
r-4807,NORT,1,0,1
r-4808,NORT,0.223,0.777,1
r-4809,NORT,0,1,1
r-4810,NORT,1,0,1
r-4811,NORT,0.983,0.017,1
r-4812,NORT,0,1,1
r-4813,NORT,1,0,1
r-4814,NORT,1,0,1
r-4815,NORT,0.893,0.107,1
r-4816,NORT,1,0,1
r-4817,NORT,0,1,1
r-4818,NORT,0.785,0.215,1
r-4819,NORT,1,0,1
r-4820,NORT,1,0,1
r-4821,NORT,1,0,1
r-4822,NORT,0,1,1
r-4823,NORT,1,0,1
r-4824,NORT,1,0,1
r-4825,NORT,1,0,1
r-4826,NORT,1,0,1
r-4827,NORT,1,0,1
r-4828,NORT,1,0,1
r-4829,NORT,0.86,0.14,1
r-4830,NORT,1,0,1
r-4831,NORT,1,0,1
r-4832,NORT,1,0,1
r-4833,NORT,1,0,1
r-4834,NORT,1,0,1
r-4835,NORT,0.545,0.455,1
r-4836,NORT,1,0,1
r-4837,NORT,0.595,0.405,1
r-4838,NORT,0,1,1
r-4839,NORT,1,0,1
r-4840,NORT,1,0,1
r-4841,NORT,0.198,0.802,1
r-4842,NORT,1,0,1
r-4843,NORT,1,0,1
r-4844,NORT,0.099,0.901,1
r-4845,NORT,0,1,1
r-4846,NORT,0.975,0.025,1
r-4847,NORT,0.479,0.521,1
r-4848,NORT,1,0,1
r-4849,NORT,0,1,1
r-4850,NORT,0.099,0.901,1
r-4851,NORT,0.231,0.769,1
r-4852,NORT,1,0,1
r-4853,NORT,1,0,1
r-4854,NORT,1,0,1
r-4855,NORT,1,0,1
r-4856,NORT,1,0,1
r-4857,NORT,0,1,1
r-4858,NORT,0,1,1
r-4859,NORT,1,0,1
r-4860,NORT,1,0,1
r-4861,NORT,0,1,1
r-4862,NORT,1,0,1
r-4863,NORT,0.008,0.992,1
r-4864,NORT,1,0,1
r-4865,NORT,1,0,1
r-4866,NORT,0.033,0.967,1
r-4867,NORT,1,0,1
r-4868,NORT,1,0,1
r-4869,NORT,0.455,0.545,1
r-4870,NORT,0,1,1
r-4871,NORT,1,0,1
r-4872,NORT,1,0,1
r-4873,NORT,1,0,1
r-4874,NORT,1,0,1
r-4875,NORT,1,0,1
r-4876,NORT,1,0,1
r-4877,NORT,1,0,1
r-4878,NORT,1,0,1
r-4879,NORT,0,1,1
r-4880,NORT,0,1,1
r-4881,NORT,1,0,1
r-4882,NORT,0,1,1
r-4883,NORT,0.479,0.521,1
r-4884,NORT,0.851,0.149,1
r-4885,NORT,1,0,1
r-4886,NORT,0.017,0.983,1
r-4887,NORT,1,0,1
r-4888,NORT,1,0,1
r-4889,NORT,0.421,0.579,1
r-4890,NORT,1,0,1
r-4891,NORT,1,0,1
