roi_id,site_id,soil,mesquite,pixel_size
r-211,NORT,0.017,0.983,1
r-212,NORT,0.413,0.587,1
r-213,NORT,0,1,1
r-214,NORT,1,0,1
r-215,NORT,0,1,1
r-216,NORT,0.248,0.752,1
r-217,NORT,1,0,1
r-218,NORT,0,1,1
r-219,NORT,1,0,1
r-220,NORT,0,1,1
r-221,NORT,1,0,1
r-222,NORT,1,0,1
r-223,NORT,0.603,0.397,1
r-224,NORT,0.537,0.463,1
r-225,NORT,0,1,1
r-226,NORT,1,0,1
r-227,NORT,1,0,1
r-228,NORT,1,0,1
r-229,NORT,1,0,1
r-230,NORT,1,0,1
r-231,NORT,1,0,1
r-232,NORT,1,0,1
r-233,NORT,1,0,1
r-234,NORT,0,1,1
r-235,NORT,0.008,0.992,1
r-236,NORT,1,0,1
r-237,NORT,1,0,1
r-238,NORT,0,1,1
r-239,NORT,1,0,1
r-240,NORT,1,0,1
r-241,NORT,1,0,1
r-242,NORT,0.074,0.926,1
r-243,NORT,1,0,1
r-244,NORT,0,1,1
r-245,NORT,1,0,1
r-246,NORT,1,0,1
r-247,NORT,1,0,1
r-248,NORT,1,0,1
r-249,NORT,1,0,1
r-250,NORT,1,0,1
r-251,NORT,0.992,0.008,1
r-252,NORT,1,0,1
r-253,NORT,0,1,1
r-254,NORT,1,0,1
r-255,NORT,1,0,1
r-256,NORT,1,0,1
r-257,NORT,1,0,1
r-258,NORT,0.05,0.95,1
r-259,NORT,1,0,1
r-260,NORT,1,0,1
r-261,NORT,1,0,1
r-262,NORT,0.521,0.479,1
r-263,NORT,1,0,1
r-264,NORT,1,0,1
r-265,NORT,0,1,1
r-267,NORT,1,0,1
r-268,NORT,1,0,1
r-269,NORT,1,0,1
r-270,NORT,0.207,0.793,1
r-271,NORT,0.521,0.479,1
r-272,NORT,1,0,1
r-273,NORT,0.074,0.926,1
r-274,NORT,1,0,1
r-275,NORT,0,1,1
r-276,NORT,0.05,0.95,1
r-277,NORT,0.702,0.298,1
r-278,NORT,1,0,1
r-279,NORT,1,0,1
r-280,NORT,0,1,1
r-281,NORT,0.116,0.884,1
r-282,NORT,0,1,1
r-283,NORT,1,0,1
r-284,NORT,1,0,1
r-285,NORT,0,1,1
r-286,NORT,1,0,1
r-287,NORT,0.686,0.314,1
r-288,NORT,1,0,1
r-289,NORT,1,0,1
r-290,NORT,1,0,1
r-291,NORT,1,0,1
r-292,NORT,0,1,1
r-293,NORT,1,0,1
r-294,NORT,1,0,1
r-295,NORT,1,0,1
r-296,NORT,1,0,1
r-297,NORT,0,1,1
r-298,NORT,0.899,0.101,1
r-299,NORT,1,0,1
r-300,NORT,1,0,1
r-301,NORT,0.901,0.099,1
r-302,NORT,0.455,0.545,1
r-303,NORT,0.504,0.496,1
r-304,NORT,0.983,0.017,1
r-305,NORT,0,1,1
r-306,NORT,1,0,1
r-307,NORT,1,0,1
r-308,NORT,1,0,1
r-309,NORT,0.736,0.264,1
r-310,NORT,1,0,1
r-311,NORT,0.38,0.62,1
r-312,NORT,0.521,0.479,1
r-313,NORT,1,0,1
r-314,NORT,1,0,1
r-315,NORT,0,1,1
r-316,NORT,1,0,1
r-317,NORT,0.207,0.793,1
r-318,NORT,1,0,1
r-319,NORT,0.132,0.868,1
r-320,NORT,0.901,0.099,1
r-321,NORT,1,0,1
r-322,NORT,1,0,1
r-323,NORT,1,0,1
r-324,NORT,0,1,1
r-325,NORT,1,0,1
r-326,NORT,0,1,1
r-327,NORT,0.992,0.008,1
r-328,NORT,1,0,1
r-329,NORT,1,0,1
r-330,NORT,0.752,0.248,1
r-331,NORT,0.992,0.008,1
r-332,NORT,0.421,0.579,1
r-333,NORT,1,0,1
r-334,NORT,0.992,0.008,1
r-335,NORT,1,0,1
r-336,NORT,0.207,0.793,1
r-337,NORT,1,0,1
r-338,NORT,0,1,1
r-339,NORT,1,0,1
r-340,NORT,1,0,1
r-341,NORT,0.512,0.488,1
r-342,NORT,0,1,1
r-343,NORT,1,0,1
r-344,NORT,0,1,1
r-345,NORT,0,1,1
r-346,NORT,1,0,1
r-347,NORT,0.744,0.256,1
r-348,NORT,1,0,1
r-349,NORT,0,1,1
r-350,NORT,0.793,0.207,1
r-351,NORT,1,0,1
r-352,NORT,0.917,0.083,1
r-353,NORT,1,0,1
r-354,NORT,1,0,1
r-355,NORT,1,0,1
r-356,NORT,0.562,0.438,1
r-357,NORT,1,0,1
r-358,NORT,1,0,1
r-359,NORT,1,0,1
r-360,NORT,0,1,1
r-361,NORT,1,0,1
r-362,NORT,0.306,0.694,1
r-363,NORT,0.033,0.967,1
r-364,NORT,0.901,0.099,1
r-365,NORT,0,1,1
r-366,NORT,0,1,1
r-367,NORT,1,0,1
r-368,NORT,0,1,1
r-369,NORT,0.008,0.992,1
r-370,NORT,1,0,1
r-371,NORT,1,0,1
r-372,NORT,1,0,1
r-373,NORT,1,0,1
r-374,NORT,1,0,1
r-375,NORT,0,1,1
r-376,NORT,1,0,1
r-377,NORT,1,0,1
r-378,NORT,1,0,1
r-379,NORT,0,1,1
r-380,NORT,1,0,1
r-381,NORT,1,0,1
r-383,NORT,0,1,1
