site_id,site_type,lon,lat
burntcabin,meadow,-107.88790941238403,33.4374759219556
rd225,meadow,-107.28921890258789,33.555486653579955
cper,grassland,-104.74822282791138,40.81544944746229
hardcastle,meadow,-107.87595748901367,33.46767835810215
