date,site_id,landsat_pixel_id,lineageqa,pixelqa,radsatqa,sraerosolqa,srb4,srb5,ndvi
2015-01-19,P9,P9-1,1,322,0,96,1588,2128,0.14531754574811626
2015-01-19,P9,P9-2,1,322,0,96,1743,2325,0.1430678466076696
2015-01-19,P9,P9-3,1,322,0,66,1630,2188,0.14614981665793608
2015-01-19,P9,P9-4,1,322,0,96,1561,2106,0.14862285246795745
2015-01-19,P9,P9-5,1,322,0,96,1532,2052,0.14508928571428573
2015-01-19,P9,P9-6,1,322,0,96,1621,2162,0.1430081945545863
2015-01-19,P9,P9-7,1,322,0,96,1717,2290,0.1429997504367357
2015-01-19,P9,P9-8,1,322,0,96,1701,2276,0.1445813427206437
2015-01-19,P9,P9-9,1,322,0,96,1557,2086,0.14520999176502883
2015-01-19,P9,P9-10,1,322,0,96,1538,2058,0.1446051167964405
2015-01-19,P9,P9-11,1,322,0,96,1565,2114,0.149225332970916
2015-01-19,P9,P9-12,1,322,0,96,1565,2114,0.149225332970916
2015-01-19,P9,P9-13,1,322,0,96,1548,2054,0.1404775124930594
2015-01-19,P9,P9-14,1,322,0,96,1729,2285,0.13851519681116092
2015-01-19,P9,P9-15,1,322,0,96,1760,2331,0.13957467611830848
2015-01-19,P9,P9-16,1,322,0,96,1619,2171,0.14564643799472296
2015-01-19,P9,P9-17,1,322,0,96,1615,2170,0.14663143989431968
2015-01-19,P9,P9-18,1,322,0,96,1615,2170,0.14663143989431968
2015-01-19,P9,P9-19,1,322,0,96,1539,2107,0.1557871640153593
2015-01-19,P9,P9-20,1,322,0,96,1604,2167,0.14929726862901088
2015-01-19,P9,P9-21,1,322,0,66,1634,2210,0.14984391259105098
2015-01-19,P9,P9-22,1,322,0,96,1607,2158,0.14634794156706507
2015-01-19,P9,P9-23,1,322,0,96,1784,2369,0.14086202745003612
2015-01-19,P9,P9-24,1,322,0,66,1799,2369,0.13675623800383876
2015-01-19,P9,P9-25,1,322,0,96,1610,2148,0.14316125598722726
2015-01-19,P9,P9-26,1,322,0,96,1610,2148,0.14316125598722726
2015-01-19,P9,P9-27,1,322,0,96,1692,2246,0.14068054850177755
2015-01-19,P9,P9-28,1,322,0,66,1614,2145,0.1412609736632083
2015-01-19,P9,P9-29,1,322,0,96,1642,2199,0.14501431918771154
2015-01-19,P9,P9-30,1,322,0,96,1936,2595,0.14544250717280954
2015-01-19,P9,P9-31,1,322,0,96,1852,2425,0.13397241056815526
2015-01-19,P9,P9-32,1,322,0,96,1542,2053,0.14214186369958276
2015-01-19,P9,P9-33,1,322,0,96,1666,2221,0.14278363776691536
2015-01-19,P9,P9-34,1,322,0,96,1615,2157,0.14369034994697774
2015-01-19,P9,P9-35,1,322,0,96,1695,2253,0.1413373860182371
2015-01-19,P9,P9-36,1,322,0,96,1850,2448,0.13913448115402513
2015-01-19,P9,P9-37,1,322,0,96,1696,2228,0.13557594291539246
2015-01-19,P9,P9-38,1,322,0,96,1696,2228,0.13557594291539246
2015-01-19,P9,P9-39,1,322,0,96,1750,2356,0.1475888943010229
2015-01-19,P9,P9-40,1,322,0,96,1784,2347,0.13628661341079643
2015-01-19,P9,P9-41,1,322,0,96,1744,2319,0.14152104356386908
2015-01-19,P9,P9-42,1,322,0,96,1810,2387,0.13747915177507744
2015-01-19,P9,P9-43,1,322,0,96,1714,2298,0.14556331006979062
2015-01-19,P9,P9-44,1,322,0,96,1714,2298,0.14556331006979062
2015-01-19,P9,P9-45,1,322,0,96,1545,2054,0.1414281744929147
2015-01-19,P9,P9-46,1,322,0,96,1632,2170,0.14150447133087848
2015-01-19,P9,P9-47,1,322,0,96,1684,2241,0.14191082802547772
2015-01-19,P9,P9-48,1,322,0,96,1631,2175,0.14293221229637415
2015-01-19,P9,P9-49,1,322,0,96,1670,2247,0.14730661220321675
2015-01-19,P9,P9-50,1,322,0,96,1744,2327,0.14320805698845493
2015-01-19,P9,P9-51,1,322,0,96,1744,2327,0.14320805698845493
2015-01-19,P9,P9-52,1,322,0,96,1827,2432,0.14205212491195116
2015-01-19,P9,P9-53,1,322,0,96,1855,2440,0.1362048894062864
2015-01-19,P9,P9-54,1,322,0,96,1781,2351,0.13794772507260405
2015-01-19,P9,P9-55,1,322,0,96,1745,2326,0.14271677720461803
2015-01-19,P9,P9-56,1,322,0,96,1703,2271,0.14292903875188726
2015-01-19,P9,P9-57,1,322,0,96,1760,2325,0.1383108935128519
2015-01-19,P9,P9-58,1,322,0,66,1760,2318,0.13683178028445317
2015-01-19,P9,P9-59,1,322,0,96,1683,2264,0.14720040537116796
2015-01-19,P9,P9-60,1,322,0,96,1756,2347,0.14404094564952474
2015-01-19,P9,P9-61,1,322,0,66,1738,2306,0.1404549950544016
2015-01-19,P9,P9-62,1,322,0,96,1632,2182,0.14420555846879915
2015-01-19,P9,P9-63,1,322,0,96,1642,2210,0.1474558670820353
2015-01-19,P9,P9-64,1,322,0,96,1642,2210,0.1474558670820353
2015-01-19,P9,P9-65,1,322,0,66,1586,2135,0.14754098360655737
2015-01-19,P9,P9-66,1,322,0,96,1757,2341,0.14250854075158614
2015-01-19,P9,P9-67,1,322,0,96,1780,2358,0.13968100531657807
2015-01-19,P9,P9-68,1,322,0,66,1798,2396,0.14258464473056748
2015-01-19,P9,P9-69,1,322,0,96,1877,2492,0.1407644769970245
2015-01-19,P9,P9-70,1,322,0,96,1877,2492,0.1407644769970245
2015-01-19,P9,P9-71,1,322,0,96,2105,2789,0.13976297507151614
2015-01-19,P9,P9-72,1,322,0,96,1732,2298,0.14044665012406948
2015-01-19,P9,P9-73,1,322,0,96,1668,2208,0.1393188854489164
2015-01-19,P9,P9-74,1,322,0,96,1619,2182,0.14811891607471717
2015-01-19,P9,P9-75,1,322,0,96,1619,2182,0.14811891607471717
2015-01-19,P9,P9-76,1,322,0,96,1643,2215,0.14826334888543286
2015-01-19,P9,P9-77,1,322,0,96,1761,2342,0.14160370460638558
2015-01-19,P9,P9-78,1,322,0,96,1779,2364,0.14120202751629254
2015-01-19,P9,P9-79,1,322,0,96,1896,2509,0.13916004540295118
2015-01-19,P9,P9-80,1,322,0,96,2190,2893,0.13830415109187488
2015-01-19,P9,P9-81,1,322,0,96,2190,2893,0.13830415109187488
2015-01-19,P9,P9-82,1,322,0,96,1758,2337,0.1413919413919414
2015-01-19,P9,P9-83,1,322,0,96,1783,2369,0.14113680154142583
2015-01-19,P9,P9-84,1,322,0,96,1827,2426,0.1408417587585234
2015-01-19,P9,P9-85,1,322,0,96,1829,2431,0.14131455399061033
2015-01-19,P9,P9-86,1,322,0,96,1796,2382,0.14025849688846337
2015-01-19,P9,P9-87,1,322,0,96,1932,2568,0.14133333333333334
2015-01-19,P9,P9-88,1,322,0,96,1932,2568,0.14133333333333334
2015-01-19,P9,P9-89,1,322,0,66,1829,2417,0.13848327837965144
2015-01-19,P9,P9-90,1,322,0,96,1720,2297,0.14363953198904655
2015-01-19,P9,P9-91,1,322,0,96,1825,2429,0.14198401504466385
2015-01-19,P9,P9-92,1,322,0,96,1825,2429,0.14198401504466385
2015-01-19,GIBPE,GIBPE-1,1,322,0,96,1348,1875,0.1635122556624263
2015-01-19,GIBPE,GIBPE-2,1,322,0,96,1348,1875,0.1635122556624263
2015-01-19,GIBPE,GIBPE-3,1,322,0,96,1291,1804,0.16575121163166398
2015-01-19,GIBPE,GIBPE-4,1,322,0,96,1279,1783,0.16459830176355322
2015-01-19,GIBPE,GIBPE-5,1,322,0,96,1238,1728,0.16520566419420094
2015-01-19,GIBPE,GIBPE-6,1,322,0,96,1278,1764,0.15976331360946747
2015-01-19,GIBPE,GIBPE-7,1,322,0,66,1273,1761,0.16084377059986815
2015-01-19,GIBPE,GIBPE-8,1,322,0,96,1311,1818,0.16203259827420902
2015-01-19,GIBPE,GIBPE-9,1,322,0,96,1267,1753,0.1609271523178808
2015-01-19,GIBPE,GIBPE-10,1,322,0,66,1230,1697,0.15954902630679876
2015-01-19,GIBPE,GIBPE-11,1,322,0,96,1347,1850,0.1573350015639662
2015-01-19,GIBPE,GIBPE-12,1,322,0,96,1299,1809,0.1640926640926641
2015-01-19,GIBPE,GIBPE-13,1,322,0,96,1268,1763,0.16331243813922797
2015-01-19,GIBPE,GIBPE-14,1,322,0,96,1192,1684,0.17107093184979139
2015-01-19,GIBPE,GIBPE-15,1,322,0,96,1257,1733,0.1591973244147157
2015-01-19,GIBPE,GIBPE-16,1,322,0,96,1281,1773,0.16110019646365423
2015-01-19,GIBPE,GIBPE-17,1,322,0,96,1226,1711,0.1651344909771876
2015-01-19,GIBPE,GIBPE-18,1,322,0,96,1176,1646,0.16654854712969525
2015-01-19,GIBPE,GIBPE-19,1,322,0,96,1223,1696,0.16204179513532033
2015-01-19,GIBPE,GIBPE-20,1,322,0,96,1260,1731,0.15747241725175526
2015-01-19,GIBPE,GIBPE-21,1,322,0,96,1289,1777,0.15916503587736464
2015-01-19,GIBPE,GIBPE-22,1,322,0,66,1150,1623,0.17057338622430582
2015-01-19,GIBPE,GIBPE-23,1,322,0,96,1174,1639,0.16530394596516174
2015-01-19,GIBPE,GIBPE-24,1,322,0,96,1209,1683,0.16390041493775934
2015-01-19,GIBPE,GIBPE-25,1,322,0,96,1209,1683,0.16390041493775934
2015-01-19,GIBPE,GIBPE-26,1,322,0,96,1334,1852,0.162586315128688
2015-01-19,GIBPE,GIBPE-27,1,322,0,96,1191,1678,0.16974555594283722
2015-01-19,GIBPE,GIBPE-28,1,322,0,96,1237,1721,0.16362407031778228
2015-01-19,GIBPE,GIBPE-29,1,322,0,96,1237,1721,0.16362407031778228
2015-01-19,GIBPE,GIBPE-30,1,322,0,96,1270,1759,0.16143941895014857
2015-01-19,GIBPE,GIBPE-31,1,322,0,96,1304,1795,0.15843820587286223
2015-01-19,GIBPE,GIBPE-32,1,322,0,96,1218,1681,0.15971024491203864
2015-01-19,GIBPE,GIBPE-33,1,322,0,96,1216,1693,0.16397387418356824
2015-01-19,GIBPE,GIBPE-34,1,322,0,96,1216,1693,0.16397387418356824
2015-01-19,GIBPE,GIBPE-35,1,322,0,96,1301,1810,0.1636129861780778
2015-01-19,GIBPE,GIBPE-36,1,322,0,96,1344,1872,0.16417910447761194
2015-01-19,GIBPE,GIBPE-37,1,322,0,66,1358,1887,0.163020030816641
2015-01-19,GIBPE,GIBPE-38,1,322,0,66,1358,1887,0.163020030816641
2015-01-19,GIBPE,GIBPE-39,1,322,0,96,1251,1738,0.16293074606891936
2015-01-19,GIBPE,GIBPE-40,1,322,0,96,1309,1810,0.16062840654055788
2015-01-19,GIBPE,GIBPE-41,1,322,0,96,1512,2071,0.15601451297795144
2015-01-19,GIBPE,GIBPE-42,1,322,0,96,1512,2071,0.15601451297795144
2015-01-19,GIBPE,GIBPE-43,1,322,0,96,1441,1976,0.1565700907228563
2015-01-19,GIBPE,GIBPE-44,1,322,0,96,1224,1725,0.1698880976602238
2015-01-19,GIBPE,GIBPE-45,1,322,0,96,1491,2013,0.14897260273972604
2015-01-19,GIBPE,GIBPE-46,1,322,0,96,1491,2013,0.14897260273972604
2015-01-19,GIBPE,GIBPE-47,1,322,0,96,1316,1824,0.16178343949044585
2015-01-19,GIBPE,GIBPE-48,1,322,0,96,1221,1709,0.16655290102389078
2015-01-19,GIBPE,GIBPE-49,1,322,0,96,1288,1796,0.16472114137483787
2015-01-19,GIBPE,GIBPE-50,1,322,0,96,1352,1872,0.16129032258064516
2015-01-19,GIBPE,GIBPE-51,1,322,0,66,1318,1811,0.15755832534356023
2015-01-19,GIBPE,GIBPE-52,1,322,0,96,1244,1742,0.1667782987273945
2015-01-19,NORT,NORT-1,1,322,0,96,2154,2759,0.12314268267860777
2015-01-19,NORT,NORT-2,1,322,0,96,2086,2696,0.1275616896695943
2015-01-19,NORT,NORT-3,1,322,0,96,1965,2599,0.13891323400525854
2015-01-19,NORT,NORT-4,1,322,0,66,1884,2498,0.1401186672752168
2015-01-19,NORT,NORT-5,1,322,0,96,1970,2585,0.1350164654226125
2015-01-19,NORT,NORT-6,1,322,0,96,2023,2631,0.13064030941125912
2015-01-19,NORT,NORT-7,1,322,0,96,1996,2623,0.13574366746048927
2015-01-19,NORT,NORT-8,1,322,0,96,2090,2730,0.13278008298755187
2015-01-19,NORT,NORT-9,1,322,0,96,2131,2753,0.12735462735462735
2015-01-19,NORT,NORT-10,1,322,0,96,1987,2556,0.12524763372220998
2015-01-19,NORT,NORT-11,1,322,0,96,1996,2572,0.12609457092819615
2015-01-19,NORT,NORT-12,1,322,0,96,1905,2493,0.13369713506139155
2015-01-19,NORT,NORT-13,1,322,0,96,2023,2631,0.13064030941125912
2015-01-19,NORT,NORT-14,1,322,0,96,2051,2656,0.12853197365625663
2015-01-19,NORT,NORT-15,1,322,0,96,2125,2737,0.1258741258741259
2015-01-19,NORT,NORT-16,1,322,0,96,2178,2815,0.1275786100540757
2015-01-19,NORT,NORT-17,1,322,0,96,2040,2631,0.12652536929993577
2015-01-19,NORT,NORT-18,1,322,0,96,1927,2518,0.1329583802024747
2015-01-19,NORT,NORT-19,1,322,0,96,1993,2606,0.13328984561861273
2015-01-19,NORT,NORT-20,1,322,0,96,1966,2558,0.13085764809902742
2015-01-19,NORT,NORT-21,1,322,0,96,1966,2558,0.13085764809902742
2015-01-19,NORT,NORT-22,1,322,0,96,2051,2656,0.12853197365625663
2015-01-19,NORT,NORT-23,1,322,0,96,2238,2847,0.11976401179941003
2015-01-19,NORT,NORT-24,1,322,0,66,2134,2734,0.12325390304026294
2015-01-19,NORT,NORT-25,1,322,0,96,1985,2597,0.13356612832824094
2015-01-19,NORT,NORT-26,1,322,0,96,2032,2641,0.1303231328910764
2015-01-19,NORT,NORT-27,1,322,0,96,2104,2678,0.12003345880384776
2015-01-19,NORT,NORT-28,1,322,0,96,2104,2678,0.12003345880384776
2015-01-19,NORT,NORT-29,1,322,0,66,2089,2697,0.1270371918094442
2015-01-19,NORT,NORT-30,1,322,0,96,2182,2803,0.12457372116349047
2015-01-19,NORT,NORT-31,1,322,0,96,2242,2845,0.11853744839787694
2015-01-19,NORT,NORT-32,1,322,0,96,2170,2782,0.12358642972536349
2015-01-19,NORT,NORT-33,1,322,0,96,2118,2735,0.1271378528745106
2015-01-19,NORT,NORT-34,1,322,0,96,2177,2773,0.1204040404040404
